Course Code,Course Title,Credit,Distribution,Recommended Prep,Pre Requisites,Exclusion
 ECO205Y5 , Microeconomic Theory and Applications (for Management) ,1.0,Social Science,None,ECO100Y5 (63%),ECO200Y5 or  ECO204Y5 or  ECO206Y5
 ECO206Y5 , Microeconomic Theory ,1.0,Social Science,None,[( ECO101H5 (70%) and  ECO102H5 (70%)) or  ECO100Y5(70%)] and [ MAT133Y5 (80%) or  MAT135Y5 (63%) or ( MAT135H5 (63%) and  MAT136H5 (63%)) or  MAT137Y5 (60%)],ECO200Y5 or  ECO204Y5 or  ECO205Y5 or  ECO200Y1 or  ECO204Y1 or  ECO206Y1
 ECO208Y5 , Macroeconomic Theory ,1.0,Social Science,None,[( ECO101H5 (70%) and  ECO102H5 (70%)) or  ECO100Y5 (70%)] and [ MAT133Y5 (80%) or ( MAT135H5 (63%) and  MAT136H5 (63%)) or  MAT135Y5 (63%) or  MAT137Y5 (60%)],ECO202Y5 or  ECO209Y5 or  ECO202Y1 or  ECO208Y1 or  ECO209Y1
 ECO209Y5 , Macroeconomic Theory and Policy (for Commerce) ,1.0,Social Science,None,[ ECO101H5(63%) and  ECO102H5(63%)] or  ECO100Y5(63%),ECO202Y5 or  ECO208Y5 or  ECO202Y1 or  ECO208Y1 or  ECO209Y1
 ECO220Y5 , Introduction to Data Analysis and Applied Econometrics ,1.0,Social Science,None,[( ECO101H5 (63%) and  ECO102H5 (63%)) or  ECO100Y5 (63%)] and [ MAT133Y5 (63%) or ( MAT135H5 and  MAT136H5) or  MAT135Y5 or  MAT137Y5],ECO220Y1 or  BIO360H5 or  BIO361H5 or ( MAT123H1 and  MAT124H1) or ( PSY201H5 and  PSY202H5) or (1.0 credit from  STA218H5 or  STA220H5 or  STA221H5 or  STA256H5 or  STA258H5 or  STA260H5)
 ECO227Y5 , Foundations of Econometrics ,1.0,Social Science,None,"[( ECO101H5(70%) and  ECO102H5(70%)) or  ECO100Y5(70%)]
and [ MAT133Y5(80%) or ( MAT135H5(63%) and  MAT136H5(63%)) or  MAT135Y5(63%) or  MAT137Y5(60%)]",ECO227Y1 or  BIO360H5 or  BIO361H5 or ( PSY201H5 and  PSY202H5) or  SOC350H5 or  SOC351H5 or (1.0 credit from  STA218H5 or  STA220H5 or  STA221H5 or  STA256H5 or  STA258H5 or  STA260H5 or  STA255H1)
 ECO302H5 , World Economic History Prior to 1870 ,0.5,Social Science,ECO220Y5 or  ECO227Y5,( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and ( ECO202Y5 or  ECO208Y5 or  ECO209Y5),None
 ECO303H5 , World Economic History After 1870 ,0.5,Social Science,( ECO220Y5 or  ECO227Y5) and  ECO302H5,( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and ( ECO202Y5 or  ECO208Y5 or  ECO209Y5),ECO341H1 or  ECO324H1 or  ECO342Y1
 ECO311H5 , Pricing Strategies ,0.5,Social Science,None,( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and [( ECO220Y5 or  ECO227Y5) or (1.0 credit from  STA256H5 or  STA258H5 or  STA260H5)],ECO310Y5 or  ECO380H5
 ECO312H5 , Firms and Markets ,0.5,Social Science,None,( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and [( ECO220Y5 or  ECO227Y5) or (1.0 credit from  STA256H5 or  STA258H5 or  STA260H5)],ECO310Y5 or  ECO380H5
 ECO313H5 , Environmental Economics  ,0.5,Social Science,None,( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and ( ECO220Y5 or  ECO227Y5 or 1.0 credit from  STA256H5 or  STA258H5 or  STA260H5),None
 ECO315H5 , Economics of Poverty ,0.5,Social Science,None,"( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and ( ECO202Y5 or  ECO208Y5 or  ECO209Y5) and ( ECO220Y5 or  ECO227Y5 or (1.0 credit from  STA256H5,  STA258H5,  STA260H5)).",ECO324Y5 (20149)
 ECO320H5 , Economic Analysis of Law: Part 1 ,0.5,Social Science,None,ECO200Y5 or  ECO204Y5 or  ECO206Y5,ECO320Y5 or  ECO320H1
 ECO321H5 , Economic Analysis of Law: Part 2 ,0.5,Social Science,None,ECO320H5,ECO320Y5
 ECO322Y5 , History of Economic Thought ,1.0,Social Science,ECO220Y5 or  ECO227Y5 or (1.0 credit from  STA256H5 or  STA258H5 or  STA260H5),( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and ( ECO202Y5 or  ECO208Y5 or  ECO209Y5),ECO429Y1
 ECO324H5 , Economic Development ,0.5,Social Science,None,( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and ( ECO202Y5 or  ECO208Y5 or  ECO209Y5) and [ ECO220Y5 or  ECO227Y5 or 1.0 credit from ( STA256H5 or  STA258H5 or  STA260H5)],ECO324Y5 or  ECO324Y1 or  ECO324H1 or  ECO352H5S: Special Topics Economics of Poverty (20161)
 ECO325H5 , Advanced Economic Theory - Macro ,0.5,Social Science,None,( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and [ ECO202Y5(70%) or  ECO208Y5 or  ECO209Y5(70%)] and [ ECO220Y5 or  ECO227Y5 or 1.0 credit from ( STA256H5 or  STA258H5 or  STA260H5)],None
 ECO326H5 , Advanced Economic Theory - Micro ,0.5,Social Science,None,[ ECO200Y5(70%) or  ECO204Y5(70%) or  ECO206Y5] and [ ECO220Y5 or  ECO227Y5 or 1.0 credit from ( STA256H5 or  STA258H5 or  STA260H5)],ECO316H1
 ECO333H5 , Urban Economics ,0.5,Social Science,None,( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and [ ECO220Y5 or  ECO227Y5 or 1.0 credit from ( STA256H5 or  STA258H5 or  STA260H5)],ECO333Y5
 ECO335H5 ," Public Economics I: Global Warming, Biodiversity Loss and Inequality ",0.5,Social Science,None,( ECO200Y5 or  ECO204Y5 or  ECO206Y5)  and ( ECO220Y5 or  ECO227Y5 or (1.0 credit from  STA256H5 or  STA258H5 or  STA260H5)).,ECO336Y5 or  ECO336H1 or  ECO337H1
 ECO336H5 , Public Economics II: Advanced Policy Analysis ,0.5,Social Science,None,( ECO200Y5 or  ECO204Y5 or  ECO206Y5)  and [( ECO220Y5 or  ECO227Y5) or (1.0 credit from  STA256H5 or  STA258H5 or  STA260H5)],ECO336Y5 or  ECO336H1 or  ECO337H1
 ECO343H5 , Labour Economics and Public Policy ,0.5,Social Science,None,"( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and ( ECO220Y5 or  ECO227Y5 or (1.0 credit from  STA256H5,  STA258H5,  STA260H5)).",ECO361Y5 or  ECO239Y1 or  ECO339Y1
 ECO344H5 , Labour Economics and Market Frictions ,0.5,Social Science,None,"( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and ( ECO220Y5 or  ECO227Y5 or (1.0 credit from  STA256H5,  STA258H5,  STA260H5)).",ECO361Y5 or  ECO239Y1 or  ECO339Y1
 ECO345H5 , Macroeconomics and the Labour Market ,0.5,Social Science,None,"( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and ( ECO202Y5 or  ECO208Y5 or  ECO209Y5) and ( ECO220Y5 or  ECO227Y5 or (1.0 credit from  STA256H5,  STA258H5,  STA260H5)).",Students who completed  ECO352H5 Special Topics: Macroeconomics & the Labour Market are not eligible.
 ECO348H5 , Foundations of Money and Banking ,0.5,Social Science,None,"( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and ( ECO202Y5 or  ECO208Y5 or  ECO209Y5) and ( ECO220Y5 or  ECO227Y5 or (1.0 credit from  STA256H5,  STA258H5,  STA260H5)).","Students who have taken  ECO352H5 Special Topics: Fundamentals of Money, Banking  & Financial Markets are not eligible for this course"
 ECO349H5 ," Money, Banking & Financial Markets ",0.5,Social Science,None,"( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and ( ECO202Y5 or  ECO208Y5 or  ECO209Y5) and ( ECO220Y5 or  ECO227Y5 or (1.0 credit from  STA256H5,  STA258H5,  STA260H5)).",None
 ECO350Y5 , Special Topics in Economics ,1.0,Social Science,None,None,None
 ECO351H5 , Special Topics in Economics ,0.5,Social Science,None,None,None
 ECO352H5 , Special Topics in Economics ,0.5,Social Science,None,None,None
 ECO353H5 , Special Topics in Economics ,0.5,Social Science,None,None,None
 ECO358H5 , Financial Economics I ,0.5,Social Science,None,( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and [( ECO220Y5 or  ECO227Y5) or (1.0 credit from  STA256H5 or  STA258H5 or  STA260H5)],MGT231H5 or  MGT331Y1 or  MGT337Y5 or  MGT338H5
 ECO359H5 , Financial Economics II ,0.5,Social Science,None,( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and [( ECO220Y5 or  ECO227Y5) or (1.0 credit from  STA256H5 or  STA258H5 or  STA260H5)],MGT231H5 or  MGT232H5 or  MGT331Y1 or  MGT337Y5 or  MGT338H5 or  MGT339H5
 ECO362H5 , Economic Growth: Theory and Evidence ,0.5,Social Science,None,"( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and ( ECO202Y5 or  ECO208Y5 or  ECO209Y5) and ( ECO220Y5 or  ECO227Y5 or (1.0 credit from  STA256H5,  STA258H5,  STA260H5)) and ( MAT133Y5 or  MAT134Y5 or ( MAT132H5 and  MAT134H5) or  MAT135Y5 or ( MAT135H5 and  MAT136H5) or  MAT137Y5)",ECO451H1
 ECO364H5 , International Trade Theory ,0.5,Social Science,None,( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and ( ECO202Y5 or  ECO208Y5 or  ECO209Y5),ECO328Y1 or  ECO230Y1
 ECO365H5 , International Monetary Economics ,0.5,Social Science,None,( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and ( ECO202Y5 or  ECO208Y5 or  ECO209Y5) and [ ECO220Y5 or  ECO227Y5 or 1.0 credit from ( STA256H5 or  STA258H5 or  STA260H5)],ECO328Y1 or  ECO230Y1
 ECO370Y5 , The Economics of Organizations ,1.0,Social Science,None,( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and [ ECO220Y5 or  ECO227Y5 or 1.0 credit from ( STA256H5 or  STA258H5 or  STA260H5)],ECO381H5 or  ECO426H1 or  MGT310Y1
 ECO373Y5 , The Environment:  Perspectives from Economics and Ecology ,1.0,Social Science,ENV100Y5,ECO100Y5(63%) and ( ECO200Y5 or  ECO204Y5 or  ECO206Y5) or by permission of instructor,ECO313H1 or  ECO373H5
 ECO375H5 , Applied Econometrics I ,0.5,Social Science,None,"( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and ( ECO202Y5 or  ECO208Y5 or  ECO209Y5) and ( ECO220Y5(70%) or  ECO227Y5 or (1.0 credit from  STA256H5,  STA258H5,  STA260H5)).",ECO327Y5 or  ECO327Y1 or  ECO375H1
 ECO380H5 , Managerial Economics: Competitive Strategy ,0.5,Social Science,None,( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and [ ECO220Y5 or  ECO227Y5 or 1.0 credit from ( STA256H5 or  STA258H5 or  STA260H5)],ECO310Y5 or  ECO311H5 or  ECO312H5 or  MGT310Y1
 ECO381H5 , Managerial Economics: Personnel Economics ,0.5,Social Science,None,( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and [ ECO220Y5 or  ECO227Y5 or 1.0 credit from ( STA256H5 or  STA258H5 or  STA260H5)],ECO370Y5 or  ECO426H1 or  MGT310Y1
 ECO383H5 , Introduction to Empirical Methods of Microeconomics ,0.5,Social Science,None,( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and [ ECO220Y5 or  ECO227Y5 or 1.0 credit from ( STA256H5 or  STA258H5 or  STA260H5)] and [( MAT133Y5 or  MAT135Y5 or ( MAT135H5 and  MAT136H5) or  MAT137Y5],ECO351H5 (Winter 2007) or  ECO338H1
 ECO385H5 , Economics of Information ,0.5,Social Science,None,"( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and ( ECO220Y5 or  ECO227Y5 or (1.0 credit from  STA256H5,  STA258H5,  STA260H5)).",None
 ECO399H5 , Research Opportunity Program ,0.5,Social Science,None,Minimum of 10.0 credits completed.,None
 ECO399Y5 , Research Opportunity Program ,1.0,Social Science,None,Minimum of 10.0 credits,None
 ECO400Y5 , Economics Internship ,1.0,Social Science,None,"Fourth year standing in an Economics Program and recommended CGPA to be determined annually.  Acceptance will be based on a combination of CGPA, experience, qualifications and interview performance.",BIO400Y5 or  CCT409H5 or  CTE388H5 or  ENV400Y5 or  FSC481Y5 or  HIS498Y5 or  ITA400Y5 or  JEG400Y5 or  JEG401Y5 or  MGT480H5 or ( CCT410H5 or  CCT411H5) or  PSY442Y5 or  SOC480Y5 or  WGS435Y5
 ECO401Y5 , Special Topics in Economics ,1.0,Social Science,None,None,None
 ECO402H5 , Special Topics in Economics ,0.5,Social Science,None,None,None
 ECO406H5 , Advanced Public Economics ,0.5,Social Science,None,"( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and ( ECO220Y5 or  ECO227Y5 or (1.0 credit from  STA256H5,  STA258H5,  STA260H5)).",ECO412Y5
 ECO411H5 , Human Capital and Education in the Economy ,0.5,Social Science,None,"( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and ( ECO220Y5 or  ECO227Y5 or (1.0 credit from  STA256H5,  STA258H5,  STA260H5)).",ECO412Y5
 ECO420Y5 ," Reading Course, Seminar or Workshop ",1.0,Social Science,None,None,ECO421H5 or  ECO422H5
 ECO421H5 ," Reading Course, Seminar or Workshop ",0.5,Social Science,None,None,ECO420Y5 or  ECO422H5.
 ECO422H5 ," Reading Course, Seminar or Workshop ",0.5,Social Science,None,None,ECO420Y5 or  ECO421H5
 ECO433H5 , Gender and Family Economics ,0.5,Social Science,None,( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and ( ECO202Y5 or  ECO208Y5 or  ECO209Y5) and [ ECO220Y5 or  ECO227Y5 or 1.0 credit from ( STA256H5 or  STA258H5 or  STA260H5)],ECO332H1
 ECO435H5 , Growth and Development of the Chinese Economy ,0.5,Social Science,None,"( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and ( ECO202Y5 or  ECO209Y5 or  ECO208Y5) and ( ECO220Y5 or  ECO227Y5 or (1.0 credit from  STA256H5,  STA258H5,  STA260H5)).",None
 ECO436H5 , Measuring Well Being ,0.5,Social Science,None,( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and ( ECO202Y5 or  ECO208Y5 or  ECO209Y5) and [ ECO220Y5 or  ECO227Y5 or 1.0 credit from ( STA256H5 or  STA258H5 or  STA260H5)],None
 ECO440H5 , Advanced Topics in Financial Economics ,0.5,Social Science,None,ECO206Y5 (70%) and  ECO208Y5 (70%) and  ECO227Y5 (70%) and  ECO358H5; or by permission of instructor.,None
 ECO456H5 , Public Policy Analysis ,0.5,Social Science,None,( ECO200Y5 or  ECO204Y5 or  ECO206Y5) and ( ECO202Y5 or  ECO208Y5 or  ECO209Y5) and ( ECO220Y5(70%) or  ECO227Y5 or (1.0 credit from  STA256H5 or  STA258H5 or  STA260H5)),ECO356H5
 ECO460H5 , Introduction to Financial Risk Management ,0.5,Social Science,None,[ ECO200Y5(70%) or  ECO204Y5(70%) or  ECO206Y5] and [ ECO220Y5(70%) or  ECO227Y5 or 1.0 credit from ( STA256H5(70%) or  STA258H5(70%) or  STA260H5)],ECO460Y5 or  ECO461H1
 ECO461H5 , The Economics of Financial Risk Management ,0.5,Social Science,None,ECO460H5,ECO460Y5 or  ECO461H1
 ECO466H5 , Empirical Macroeconomics and Policy ,0.5,Social Science,ECO375H5,"ECO325H5 and [ ECO220Y5 or  ECO227Y5 or (1.0 credit from  STA256H5,  STA258H5,  STA260H5)] or Permission of Instructor/Department.",ECO402H5 Special Topics: Empirical Macroeconomics and Policy (20199)
 ECO475H5 , Applied Econometrics II ,0.5,Social Science,None,ECO375H5,ECO327Y5 or  ECO327Y1 or  ECO376H1
 EDS100H5 , Introduction to Education Studies ,0.5,Humanities,None,None,None
 EDS101H5 , Health and Education ,0.5,Humanities,None,None,None
 EDS200H5 , Learning Through the Lifespan ,0.5,Humanities,None,None,CTE100H5
 EDS210H5 , Communication and Conflict Resolution ,0.5,Humanities,None,None,CTE250H5
 EDS220H5 , Equity and Diversity in Education ,0.5,Humanities,None,None,CTE200H5
 EDS250H5 , Indigenous Education ,0.5,Humanities,None,None,None
 EDS275H5 , Mass Media and Debunking the Myths of Education ,0.5,Humanities,None,None,None
 EDS285H5 , The Future of Ed Tech: Active Learning Classrooms and Artificial Intelligence ,0.5,Humanities,None,None,None
 EDS291H5 , Black Education  ,0.5,Humanities,EDS220H5,None,None
 EDS300H5 , Learning Design ,0.5,Humanities,EDS200H5 (minimum 70%) and  EDS210H5 (minimum 70%) and  EDS220H5 (minimum 70%),None,EDU310H5
 EDS310H5 , Education in a Global Context ,0.5,Humanities,EDS300H5,None,EDU320H5
 EDS325H5 , Supplemental Instruction in Higher Education: Peer-Facilitated Study Groups ,0.5,Humanities,"Open to all students, but the completion of  EDS100H5 or other EDS courses or experience that has directly supported an understanding of teaching and learning are recommended but not required.",None,Previous Peer Facilitated Study Group experience in courses like  FRE491H5 or  FRE492H5 or  LIN495Y5
 EDS345H5 , Design Thinking Incubator: From Problem to Prototype ,0.5,Humanities,None,None,None
 EDS377H5 , Why the First Year of University Matters:  The Impact of Peer Mentoring ,0.5,"Humanities, Social Science",None,None,None
 EDS388H5 , Experiential Learning Opportunity within the Community ,0.5,Humanities,EDS200H5 and  EDS210H5 and  EDS220H5 and  EDS300H5 (may be taken as a co-requisite).,None,CTE388H5 or  CTE388Y5
 EDS399H5 , Research Opportunity Program ,0.5,Humanities,None,None,None
 ENG100H5 , Effective Writing ,0.5,Humanities,None,None,None
 ENG101H5 , How to Read Critically ,0.5,Humanities,None,None,None
 ENG102H5 , How to Research Literature ,0.5,Humanities,None,None,None
 ENG105H5 , Introduction to World Literatures ,0.5,Humanities,None,None,ENG140Y5
 ENG110H5 , Narrative ,0.5,Humanities,None,None,ENG110Y5
 ENG121H5 , Traditions of Theatre and Drama ,0.5,Humanities,None,None,ENG125Y1
 ENG122H5 , Modern and Contemporary Theatre and Drama ,0.5,Humanities,None,None,ENG125Y1
 ENG140Y5 , Contemporary World Literatures ,1.0,Humanities,None,None,ENG105H5
 ENG201Y5 , Reading Poetry ,1.0,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,ENG204H5
 ENG202H5 , British Literature in the World I: Medieval to Eighteenth-Century ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,ENG202Y5
 ENG203H5 , British Literature in the World II:  Romantic to Contemporary ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,ENG203Y5
 ENG204H5 , How to Read Poetry ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,ENG201Y5
 ENG205H5 , Rhetoric ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,WRI305H5
 ENG206H5 , Rhetorical Criticism ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,None
 ENG210Y5 , The Novel ,1.0,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,None
 ENG211H5 , Introduction to the Novel ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,ENG210Y
 ENG213H5 , The Short Story ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits. Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,None
 ENG214H5 , The Short Story Cycle ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,None
 ENG215H5 , The Canadian Short Story ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,None
 ENG217H5 , Writing about the Visual Arts ,0.5,Humanities,None,"4.0 credits
Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.",None
 ENG218H5 , Interactive Storytelling and Worldmaking ,0.5,Humanities,None,Open to students who have successfully completed a minimum of 4.0 credits. Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except ENG100H5) may petition the department in writing for approval to take the course. ,None
 ENG223H5 , Introduction to Shakespeare ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,ENG220Y5 or  DRE221Y5 or  DRE224H5
 ENG234H5 , Children's Literature ,0.5,Humanities,None,Open to students who have successfully completed a minimum of 4.0 credits. Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,None
 ENG235H5 , Comics and the Graphic Novel ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,None
 ENG236H5 , Detective Fiction ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,None
 ENG237H5 , Science Fiction ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,None
 ENG238H5 , Fantasy Literature ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,None
 ENG239H5 , Horror Literature ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,None
 ENG250Y5 , American Literature ,1.0,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,ENG251H5
 ENG251H5 , Introduction to American Literature ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,ENG250Y5
 ENG252Y5 , Canadian Literature ,1.0,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,ENG255H5
 ENG255H5 , Introduction to Canadian Literature ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100 level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,ENG252Y5
 ENG259H5 , Literature and Environmental Criticism ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,None
 ENG261H5 , Music and Literature ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.    Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,None
 ENG263H5 , Play and Games ,0.5,Humanities,None,Open to students who have successfully completed a minimum of 4.0 credits. Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website. ,None
 ENG269H5 , Queer Writing ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,ENG273Y1
 ENG271H5 , Toronto's Multicultural Literatures ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,None
 ENG273H5 , Literatures of Immigration and Exile ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,ENG253Y5 or  ENG270Y1 or  ENG270Y5 or  ENG272H5
 ENG274H5 , Indigenous Literature and Storytelling ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,None
 ENG275H5 , Feminist Approaches to Literature ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,None
 ENG276H5 , Fanfiction ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,None
 ENG277H5 , Bad Romance ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,None
 ENG279H5 , Video Games ,0.5,Humanities,None,Open to students who have successfully completed at least 4.0 full credits.     Students who do not meet the prerequisite but are enrolled in any 100-level ENG or DRE course (except  ENG100H5) may petition the department in writing for approval to take the course. See the guidelines for written petitions on the department website.,None
